,business_id,date,stars,text,cut_off_date,not_recommended_review_count_pre,treatment,text_length,sentiment_score
25870,gy0NuW7nzIuZNq3lLLlgzA,2013-11-17 07:47:09,4,the actual food is good and so is the red russian pinot noir they have. but the service was disengaged and a bit aloof. i actually play with the thought of diminishing one more star from this rating because little things do matter. not offering fresh ground pepper and seeing that any grated cheese could be added to your dish automatically in an italian pasta restaurant is hard to overlook. spilling olive oil on the table during a clumsy clean up can be overlooked as long as pardon is begged. ignoring a table of six on a slow night so that you can watch passers by thru the window... not so much!  but the food was really good and my photos should showcase that. just know you may have to be a bit forgiving.,1,22.0,1,713,0.1055
25886,sL6fC0P4C-gyL4E5gacUeQ,2014-01-04 03:17:07,5,simply the best pizza. the slices are not to be believed big gorgeous lovely works of art. my absolute favorite!!!!!,1,17.0,1,116,0.4857
25910,sTPueJEwcRDj7ZJmG7okYA,2013-09-09 20:13:53,5,"of all the cheese steaks i've had in philadelphia, jim's is by far the best. don't get me wrong i'm all for organic cherries and banana apples or whatever the hell but the cheez whiz steak at this place is mind bogglingly awesome. get it with sauteed onions and shrooms and you will not be disappointed. resist the urge to get provolone instead; try the cheez whiz.",0,67.0,1,365,0.17
25915,eEKl9ZI-QB_p4XcNPXToHQ,2013-11-16 00:50:04,5,"great food, good service. love the authentic rustic flavor of the dishes. we will be back",1,9.0,1,89,0.5
25951,sTPueJEwcRDj7ZJmG7okYA,2014-01-04 15:55:53,5,hands down the best cheese steak in philly. must have with cheese whiz. always has a line but worth the wait.,1,67.0,1,109,0.3815
25994,eJaeTZlIdM3HWCq__Ve4Wg,2013-10-28 19:22:17,4,"stopped by here just about every time i've visited philly. it's a beautiful bar and their selection of wine, beer and cheese is top notch. if i lived in philly i'd definitely make it a point to try everything at least once - their descriptions make it all sound so appealing (i don't know why i stay on their email list - i live so far away that it's torture). try coming on a sunday if you can - their sunday school menu is such a steal! as for the food - i love the lamb sausage and fig salad in particular (that cute truffled egg toast is beautifully prepared but not terribly memorable otherwise).   i was very impressed with their selection of sour ales - i wish i could remember the name of the one on their sunday school menu i had recently. unfortunately i followed that one up with the cuveé des jacobins rouge which i could barely finish - holy hell was that sour! i'm sure there are braver souls than i who would enjoy it but it was way too much for me.",0,42.0,1,964,0.2393
25995,M_EpyAH1CZZVlhxfYBLOqg,2014-01-21 17:49:56,5,"upon further consideration, this deserves 5 stars.  i organized a conference dinner here for 25 people and it was a big hit.",1,10.0,1,124,0.0
26047,sTPueJEwcRDj7ZJmG7okYA,2013-10-09 20:44:54,5,"hands down the best steak you will get in philly! i've eaten there for years! i wish i could get a steak this good in florida. make sure you order it correctly, lol.  whiz/american with or without (fried onions).  don't ask for pickles, they don't have them :(",0,67.0,1,260,0.3491
26077,C_lyUPmRABHpE0K8C9TxFw,2013-11-18 01:24:44,1,"i was really excited to try this place given all of the great reviews. however, i ordered a pizza for take out and it was a flat out disappointment. it would've been great had it been a fresh pizza. the pizza i received was clearly reheated and the bottom of the box was cold when i picked it up. it was 10 minutes from the time i placed the order until i picked it up. there is almost no chance i will return and won't recommend this place to anyone.",1,0.0,0,451,0.1438
26097,eEKl9ZI-QB_p4XcNPXToHQ,2014-01-20 03:17:42,3,"we enjoyed our food, the server was professional, the atmosphere delightful.",1,9.0,1,76,0.5333
26104,eJaeTZlIdM3HWCq__Ve4Wg,2013-10-11 04:57:16,5,omg! must try the duck salad and the triple karmeliet... mind blowing!!,0,42.0,1,71,0.0
26112,gy0NuW7nzIuZNq3lLLlgzA,2013-10-25 02:24:18,3,"good but not great.  had the calamari, tuna/salmon tartare, baby shrimp and salad, spaghetti with lobster and several of their desserts during a company dinner.  nothing stood out as exceptional.  they do have some good italian wines.",0,22.0,1,234,0.2778
26161,eJaeTZlIdM3HWCq__Ve4Wg,2013-11-15 16:32:03,5,"if you work or live in center city, and you're craving an ""indulgent"" or ""fancy"" solo or duo lunch without spending a million dollars, you cannot go wrong here. the menu is fantastic, the portion sizes are actually normal (but seem small to some people expecting typical oversized american restaurant portions). it's affordable enough that you can order 2 or 3 things off the menu with a glass of wine and have a seriously awesome taste experience without going broke. i like to stop here sometimes in the summer time during work for lunch, sit outside by myself, people watch, and munch on some deliciousness and sip a glass, and try to forget about how horrible my job is. would definitely also come here for dinner to catch up with a good friend or as a romantic night out with the bf.",1,42.0,1,788,0.0246
26177,sL6fC0P4C-gyL4E5gacUeQ,2013-10-04 04:06:21,5,"three words. buffalo.chicken.pizza!!! seriously the best thing i've ever out in my mouth. i think it's a lot faster for them to deliver the food rather than you picking it up. i say this because all the times i've ordered for pick up, i had to wait and extra 20 minutes for my pizza to actually be ready. however, it seems they move a little quicker for you when they are delivering. i'm not complaining though. i just now refuse to pick up from them.  i don't care for their salads. don't think i've ordered anything else besides these two items. but a million and one stars on this mouth watering pie to which i've turned all my friends on!",0,17.0,1,642,0.1265
26183,e4MoozYGqe_rb4_ZC1rYMQ,2013-12-09 15:38:08,5,could not ask for a more pleasant place to sit out a quiet morning. fresh sweet potato and pecan muffin with ginger orange tea. my wife had a chocolate croissant with a thousand flaky layers. heaven.,1,13.0,1,199,0.3767
26216,gy0NuW7nzIuZNq3lLLlgzA,2013-09-07 11:45:28,3,"i ended up eating here on a sunday evening because many other places were crowded or closed. serafina's is just ok. the menu is not as extensive as i was hoping for an italian restaurant. we ended up ordering the chicken paillard and seraphina chicken salad, and bruschetta. i can honestly say that the bruschetta was the best thing we ordered. everything else was very bland and unimpressive.  other than the food, very nice decor and ambience. i just wished the food was better.",0,22.0,1,480,0.151
26230,sTPueJEwcRDj7ZJmG7okYA,2014-01-21 04:30:12,4,"great original ambiance with stainless steel siding everywhere inside and pictures of celebrities who've experienced the magic here...cheesesteaks have an unreal flavor to them, that ""secret ingredient"" quality to it if you will. this place was recommended by a few friends that also frequented tony lukes and talk of the town who are from philly and have tried many versions.   the location on south street was really lively and would be an interesting spot to wander around with people you like.",1,67.0,1,497,0.3211
26238,05ev984NYfimRN0UiFrxaA,2013-11-20 17:42:58,4,"my husband made a reservation for us to celebrate our 7 year wedding anniversary. we had discussed going before but it wasn't until we saw marc vetri on a saturday morning cooking show on public access that we made it a point to go. he was very passionate about the ingredients he used and the recipes he cooked.   upon arriving we were immediately greeted and seated. hostess was very friendly and welcoming. we arrived at our table and i was not really excited about that part. the close proximity to the diners next to us was slightly unnerving for me. i respect everybody right for opinions but i don't want to hear about your government conspiracies. i almost felt like i was seated at their table as well as my own, but i can't blame the restaurant too much for that since i understand the need to maximize space in philadelphia. aside from the seating issue, the restaurant was very nice and clean! had a warm rustic feeling with a lot of class.    our server kelert arrived and my husband and i loved the fact that we had the choice between still or sparkling water. i prefer sparkling to still but that's a personal preference that i've found works for me cutting down on my soda intake. kelert was a sweetheart! any questions we had, he immediately gave us an answer. his recommendations were spot on and his attentiveness to us was impeccable. the food could've been garbage and i would still give an establishment a high rating because of him. he made sure we were taken care of without smothering us with attention, that's a fine line but he knew how to stay just in the middle. he was great!  now let's talk about the food! the food was delicious! my husband got the charcuterie plate, he wasn't too happy about the amount of charcuterie he received but he no complaints about the quality. this man loves food so i expected him to complain about the size. i got the roasted vegetables and they were phenomenal! brussels sprouts, beets, broccoli rabe, cauliflower each had their own distinctive flavor that was just indescribable! the only thing i did not finish was the argula and that's only because i'm not a huge fan of it. as our entree we both ordered the spit roasted suckling pig.....amazing! the pig is spit roasted and you are presented with meat from all parts. moist, flavorful, perfectly portioned, the list could go on. the only thing on the plate i was on the fence about were the roasted potatoes. they had a great crust but the interior was not fluffy and just weren't for me. now i'm not saying that someone else wouldn't enjoy them but i wasn't too much of a fan. for desert my husband got the apple torta which he enjoyed and i got the polenta budino and loved! to go with our sweets we got some coffee that was really good. it really rounded out our visit, and as we were finishing up we were presented with a small pumpkin spice gelato as an anniversary gift. it was very thoughtful and much appreciated.   osteria is definitely a foodies spot. it's not your typical run of the mill italian and i loved it for that. the service was impeccable, the food was delicious, and you can tell that there is a lot of love and thought that goes into everything they do. i am counting down to the days when my husband and i can visit again since we will be moving to alaska in the very near future. osteria was well worth my time and money. it was a great anniversary meal! thank you for making it so.",1,42.0,1,3425,0.3246
26259,sTPueJEwcRDj7ZJmG7okYA,2013-09-08 08:22:04,5,"hands down my favorite cheesesteak spot in philly. anytime i'm in the city, i make sure i stop by and pick up a steak. everytime i've gone, there has always been a decent line. whiz wit and onions you can't go wrong. always friendly when i've gone (even when getting slammed with a ton of customers). go, have a steak, and be happy you had the best cheesesteak in the world.",0,67.0,1,374,0.3358
26303,sL6fC0P4C-gyL4E5gacUeQ,2014-01-02 21:18:53,1,"i used to be a local but now, living in dc, i miss my philly pizza.  i stopped in at lazaro's on a whim, hungry and with few options open on new year's.  i wish i had just kept going! i really don't understand the positive reviews of this place.  my slice with basil and fresh mozz was completely tasteless aside from the overly sweet sauce.  the dough is not even close to the chewy, flat and delicious crust i associate with philly pizza.  lazaro's is airy, worst i've ever had. my s.o. had stromboli and it was just folded over meat pizza. again with the sweet sauce and airy dough.  not worthy of being called stromboli. cannoli, don't even get me started.  disappointment all around.",1,17.0,1,688,0.0004
26332,gy0NuW7nzIuZNq3lLLlgzA,2013-10-27 04:18:06,1,"sadly have to update this review to a 1-star rating. went in here on saturday night around 10pm for a drink and small bite with a friend. we ended up here since dandelion across the street was packed with no seats at the bar. this place was relatively empty so no problem finding spots at the bar. didn't take us long to find out why it was empty though. the bartender acknowledged our presence when we seated ourselves and asked if we wanted drink menus. we said yes then proceeded to wait, wait, wait while she had a conversation with another patron in front of us for atleast 5 minutes. multi-tasking was not her strong suit clearly. you should never have people waiting that long at a bar to see a menu. finally we got our menus and proceeded to wait, wait, wait, wait and wait....she  was busy with some drama about sharing tips and had her back turned to us for atleast 10 minutes while she went through receipts, probably trying to calculate in her head how much she was taking home in tips that night. having been there 15-20 minutes at an empty bar with a lazy bartender, we decided to get up and leave to go to a place across the street where we received prompt service :-) sadly, i really did want to have the minestrone soup again...",0,22.0,1,1245,0.0083
26365,sTPueJEwcRDj7ZJmG7okYA,2013-09-05 13:55:13,5,"god i love this place. every time i have someone from out of town visit i bring them here.   the guys who work there are always friendly, even when the line is wrapped around the door, and when it's not packed they'll chat with you and make you laugh. there is something about their cheeseteak that is totally awesome. it's not fine dining, but it's great food.",0,67.0,1,361,0.4611
26399,eEKl9ZI-QB_p4XcNPXToHQ,2013-12-30 00:02:23,4,"this is my ""go to place"" for simple we'll prepared, well priced italian food. he staff is always friendly and welcoming. the food is dependably excellent. i love the salads. freshly prepared, crisp and interesting.",1,9.0,1,214,0.3656
26440,gy0NuW7nzIuZNq3lLLlgzA,2013-12-28 04:18:45,2,"not a good experience. i understand the prices, since it is rittenhouse, but the food and experience did not justify it. they forgot to serve us the house bread, there was no olive oil, salt or pepper on the table, our focaccia bread was crunchy and dry (server forgot to bring olive oil with it), and the pizza was something i could have bought off a food truck. maybe it was just the day, but i wish i had a better experience.",1,22.0,1,428,0.0278
26454,sTPueJEwcRDj7ZJmG7okYA,2013-10-25 20:31:32,1,pretty disappointing ! mushrooms were out of a can bread was soggy meat had zero flavor. we were recommended to try this place but it is a fail in the world of j famous cheese steaks !,0,67.0,1,184,-0.0938
26520,AU5C7IX0mogLK32u2EEOBQ,2014-01-19 23:10:55,3,a little pricey for a chicken panini ($8) (would be better if it included a drink) but it was good. quick service and close to the va so i may come back for a salad next time.,1,0.0,0,175,0.1557
26521,M_EpyAH1CZZVlhxfYBLOqg,2013-12-08 22:12:28,5,"seriously, cannot get enough of this place. hands down best pizza in philly. some of the best pizza i've ever had for that matter.",1,10.0,1,130,0.3022
26535,UIlrtflU_DOagc4YyrQ2Uw,2014-01-22 04:16:08,4,"we came here on an early sunday night, so it was uncrowded. we sat at the bar for awhile and chatted up the bartender and some other patrons, while enjoying nicely-prepared martinis. we chose a booth, which was cozy. although our view of the small stage was partially blocked, we could watch the performers on a screen. our appetizers and entrees were delicious and substantial, if pricey. the waitress/vocalist assured me the grouper was fresh, and it tasted it.  four of us shared terrific and ample limoncello cheesecake and chocolate mousse desserts.  service was competent and friendly, and most of the performing staff  were real pros.   even after the place filled up, the noise level was reasonable and allowed for  conversation.  while pricey, we thought the added feature of live singers doing standards and show tunes (piano accompaniment), made the club a good value.  not for everyone, but we'll be back.",1,11.0,1,917,0.2354
26608,X1KTKksxwFTg_t21iWPMMA,2013-11-17 04:27:36,3,"i originally booked a reservation at 9, and didn't sit down until 9:45. the waitress was subpar at best, but the service collectively made up for it. the food does take some time, but the accommodated bread and sauce held us over. i ordered the lobster ravioli, which was exquisite. the serving sizes are enough to fill and overall i would say the experience was above average. it is quite expensive though",1,12.0,1,406,0.1744
26646,05ev984NYfimRN0UiFrxaA,2014-01-21 16:06:14,4,"i love coming to osteria. the grilled octopus is amazing. it's also something i never thought i'd eat, but osteria makes it downright delicious. i ordered the black bass as my main entree, and was not disappointed. light, flaky, and full of flavor. the octopus pizza is also great.  some entrees are bigger than others, but i have never walked out of the restaurant hungry. the prices are a bit high, so i don't come often. but when i do, it""s always a good meal.",1,42.0,1,463,0.3642
26662,luv3Y2AjoOhxYRY_u5tRJA,2013-12-30 20:14:45,3,"how could you go wrong with a place called couch tomato!  we ordered takeout and it did not take long for them to deliver our order. for 4 people we went with 2 of the smaller 10 inch pizzas, one salad and one calzone which was the perfect amount of food.  we ordered a salad which was very fresh and i highly recommend the avocado ranch dressing.  for the pizzas we went with the basic margarita and the picante. i highly recommend the picante as the dressing on it was fantastic.",1,82.0,1,481,0.1594
26699,e4MoozYGqe_rb4_ZC1rYMQ,2013-09-09 12:27:16,3,"this was a very lovely, cute little coffee place.  it was quite slow when we arrived (which we are fine with), there were only two other people in there working on computers/writing.  this was our breakfast spot for the day (9/7/13) and although the panini press was not ready/turned on, the very lovely man behind the counter said it would not be a problem to make our paninis, it would just take a little longer for the grill to heat up.  that was very sweet of him to make us paninis at 10 am, about 2 hours before they usually make them.  being out of towners, we had no idea what time they served what, but were very glad he was so friendly.    the husband and i also bought a pecan bar(mmm), a cowboy cookie, a latte, and he ordered the turkey panini, and i had the mediterreanean panini.  everything was so great, (especially the panini bread, that was delicious).    i am glad we had coffee/food here.  it was so inviting and friendly and a very relaxing, enjoyable place.    it seems like a lovely neighborhood gem.",0,13.0,1,1024,0.2783
26700,gy0NuW7nzIuZNq3lLLlgzA,2014-01-20 21:38:12,3,"i'm not sure exactly how this place got its ""iffy"" reputation, but on my first visit here last week for a business dinner, i tried to keep the opinions of others at bay and partake in an unbiased dinner experience.  the food was good; we ordered a handful of starters for the table.  the carpaccio malatesta and crostini with prosciutto were the most notable.   my entree was mushroom risotto.  it was rich and i couldn't finish more than half, but that, too, was good.  i think if the vibe here was a bit more lively, it may entice larger, more consistent crowds.  by 9, they were fairly cleared out aside from our table of 10.  while i have no concrete complaints, i wouldn't hurry back.",1,22.0,1,689,0.2826
26720,eJaeTZlIdM3HWCq__Ve4Wg,2013-09-07 21:10:35,5,the 4 glasses of wine we got were all amazing and well worth the price 8-15 a glass. snacks were great too! had the truffled egg toast and lamb sausage. yum!,0,42.0,1,157,0.6333
26736,sTPueJEwcRDj7ZJmG7okYA,2013-10-07 02:30:53,4,lines around the corner only mean one thing! with wiz and onions! worth the wait!,0,67.0,1,81,-0.0378
26794,eJaeTZlIdM3HWCq__Ve4Wg,2013-10-29 00:28:25,5,a wonderful meal for a woman traveling alone for business. sat at the bar and asked for recommendations. loved the truffled egg toast and smoked duck salad along with a zinfandel (make that two zins).,0,42.0,1,200,0.85
26809,sTPueJEwcRDj7ZJmG7okYA,2013-11-19 08:19:55,4,"can't decide between pat's and geno's? don't.   jim's steaks is a winner all the time.   a classic philly cheesesteak is meat, cheese whiz and onion on a roll. exactly, how you should order a cheesesteak if it's your first time trying one.    at jim's, expect less oil and grease. expect great customer service. expect a fresh roll. expect a long wait. and expect a meal you'll never forget!    personally, a cheesesteak should be graded on the taste of the meat, the freshness of the roll and the amount of grease. the meat should be seasoned, the roll should taste fresh and grease/oil should be at a minimum. (who wants a heart attack while trying to enjoy their meal?)    i deducted a star because they are a lit bit pricier and their cheesesteaks are a bit smaller compared to other cheesesteak shops. i prefer getting a bang for my buck.  also, i can almost never find seating.",1,67.0,1,883,0.183
26821,X1KTKksxwFTg_t21iWPMMA,2013-12-14 07:52:29,1,"definitely one of the worst italian byos in the city. i think the byo is the only redeeming aspect of this so called restaurant and that is the only reason why i have come here more than once. i have been here twice and both times i have been extremely disappointed.  service: extremely slow and our waiter was nowhere to be found. we had to call him over to order and then we saw him again when we asked for the check. other people filled our glasses but i definitely think they could do a lot better. our food also took more than 30 minutes to come out.  food: in one word: bland. i have ordered the seafood fettuccine and the grilled chicken and both were ridiculously bland in addition to the chicken being overcooked. i dont think they know what seasoning is to be honest. the portions were large but a lot of bland food does not equal good food.  overall i think this restaurant leaves a lot to be desired. they will continue to stay in business because they are an italian byo that accommodates large parties but the food is bland, overcooked, expensive and the service is sub-par. just know what you are getting into when you come here.",1,12.0,1,1144,-0.0148
26829,gy0NuW7nzIuZNq3lLLlgzA,2014-01-22 02:15:37,1,"i really hate to do this, but i have to tell everyone out there that i found a worm in my pasta the other night. i get serafina delivery about every 2 weeks and have been going to the restaurant in nyc since i was 10 (it was close t my h.s.).   possibly worse than finding the actual worm in my $20 pasta was the fact that when i called to report it i could not get to speak with a manager and it has now been a full 72 hours since i called. i was treated so rudely over the phone! a woman named alee corrected me when i pronounced the pasta wrong but didn't even apologize for the bug (which i have evidence of on my phone!) and denied everything completely.   childhood memories down the drain and one less place to order in from in philly...ugh i hate this whole situation!",1,22.0,1,776,-0.2289
26857,hQY2yKi9OUGLgVApsK4h1Q,2014-01-20 23:51:30,5,"the *best* pizza in philadelphia.   i know, i know.  it's a bakery.  fine. the baked goods are wonderful and the prices would make a whole foods regular head blow up. but the pizza, fantastic. oily wonderfulness. lots of cheese. flavorful sauce but not overpowering. square pizzas.  not too thick, not too thin (don't get me started on thin pizza).  cheap.  and the sauce/cheese/toppings go all the way to the ends of the non-crust slices.  it's unique. and perfect.",1,8.0,1,466,0.3076
26860,gy0NuW7nzIuZNq3lLLlgzA,2013-11-22 02:02:10,4,"in a failed attempt to eat at le castagne (closed for a private party), we stumbled upon serafina. even as group of five, we were seated promptly by a very courteous staff-- something i would contribute to sheer luck based on the time of night and the number of patrons inside. the menu was well laid out and we were able to quickly discern what we wanted for appetizers:  the calamari, the filet mignon carpaccio, and the bruschetta.    although delicious, only three pieces of bruschetta were served, which was a disappointment (but only a minor setback, all in all). the calamari absolutely sold me; had my other four friends reviewed it, they would have likely suffered from  insufficient data, but i know my calamari, and this was good. the filet mignon carpaccio was both tasty and interesting, as i've had little experience with carpaccio.   by the time our appetizers arrived, we were able to provide our entree requests; i ordered both the chicken parmesan (a dish that is always available but never listed on the menu, interestingly) and the ravioli al porcini.   all of our orders were served in record time, something i welcomed and certainly didn't anticipate! the chicken parmesan was thin, had a great texture, and tasted great. i absolutely loved the mushrooms, the creamy centers, and the sauce used for the ravioli.  complaints? foregoing the bruschetta dilemma, the music was far too loud, and not very fitting for italian dining. it felt as if we were eating at a rave (and it was obvious that the older clientele were disappointed). conversation and this restaurant do not mix well. beyond this, the atmosphere was great, especially with close friends all enjoying a great italian dinner.   i would highly recommend serafina to friends.",1,22.0,1,1757,0.1586
26864,fN12ywQpLXQ93bpwe1N_Ww,2013-09-06 20:48:16,5,this place is a staple for my husband (ha - husband) and i.  we were here right after marriage prep because i wanted somewhere i knew the food would be phenom.  awesome bar staff too.,0,18.0,1,183,0.6429
26896,j-Akv5AL-z1vuM04oJRc8Q,2013-10-07 17:48:10,5,"we dined outdoors but when it started to get a bit windy, they informed us that if we started to get cold, we can move indoors. we toughed it out though and enjoyed our food. awesome authentic italian food with stellar service and fantastic decor.",0,8.0,1,247,0.2929
26899,sTPueJEwcRDj7ZJmG7okYA,2013-11-16 05:52:02,4,"i came to philadelphia to visit my best friend and knew my trip would only be complete if i had a philly cheesesteak, that was definitely fulfilled. my friend suggested jim's based on her experience and i absolutely understood why.   we arrived around 9pm and luckily there wasn't a long line. my friend said that the times she visited jim's the line would be out of the door and around the building. the line went pretty fast so it wasn't too bad. you can watch then prepare the food and as they were preparing the philly cheesesteak the aroma made me want the cheesesteak even more.   the portions are a perfect size. unfortunately i was still full from a big lunch so my friend and i shared (i could have definitely finished an entire sandwich if i wasn't still full from lunch). we ordered the steak cheese with whiz, tomatoes, lettuce, and bell peppers. my friend insisted on getting the whiz and even though i never had it, it went extremely well with the sandwich.   after taking the first bite i was in yummy heaven. the meat was cooked perfectly. after taking more and more bites, each bite was as good as the first. the reason why i gave 4 stars was because even though it was very delicious, jalapenos would have topped it off.  i definitely got the philadelphia experience and i can't wait to visit and order another philly cheesesteak. of course also visit my best friend :)   tips: cash only, seating is located upstairs",1,67.0,1,1434,0.2869
26905,luv3Y2AjoOhxYRY_u5tRJA,2013-12-10 00:42:37,3,"i have been a fan of the couch tomato for several years.  they often change the menu and there are some really unique and healthy salads.  we usually order the calzones instead of the pizza and we're never disappointed with the taste of the food.  they seem to use really fresh ingredients.  they also make really great homemade soups.   i am only giving three stars because it seems that over the years, the prices have gone way up and the amount of food you get has gone down.  tonight, we ordered ""small salads"" and for $5.99 it was literally the smallest salad i've ever seen!  i'm not sure where they even get those tiny containers.  again, the food is great.  the delivery is convenient and the prices are outrageous.",1,82.0,1,723,0.0844
26921,sMd7MbiEjf-9kGYgCFqp5Q,2014-01-19 22:06:38,5,"one of the best journeys my palate has experienced! our party of three experienced a delay in seating of about 30 minutes even though we had a reservation, but the staff apologized multiple times and opened one of our bottles of wine to enjoy while we waited. once we were seated the service was very attentive and personal. the manager was our server throughout the meal and made some great recommendations!  we went with the turista menu, which is essentially the same concept as the identically named option at the better known sister location modo mio. for apps, the star was the mozzarella in carozza which was absolutely phenomenal. for the pasta course, the carbonara was amazing as was the lasagna. we went with two of the whole fish specials and one order of involtini for the main. all were delicious although i'd definitely want to try the porchetta on my next visit.   overall, chef mcandrews continues his success from modo mio at popolino and i'd argue does an even better job here. the turista menu along with byo makes this place a ""must-visit"" destination for anyone seeking a fantastic italian dining experience that fortunately doesn't wreak much havoc on the wallet!",1,9.0,1,1186,0.3815
26933,eJaeTZlIdM3HWCq__Ve4Wg,2013-11-20 01:38:35,5,perfect spot for an awesome lunch or happy hour with friends..  menu favorites:   fennel almonds herbed pistachio ricatta bruschutta broccoli rabe bruschutta white bean asparagus salad claudio mozzarella sandwich  all very good! :)  their wine selections are great!  i love the sunday school specials too! :),1,42.0,1,308,0.7139
27030,sTPueJEwcRDj7ZJmG7okYA,2013-11-19 01:08:05,2,"after years of going to philly, i finally went to one of the philly steak places.  way over-rated and overpriced.  i got the steak/whiz/onions and i was still very hungry afterwards.  for $11.00 with soda, that should have been half the price, but all of america is so greedy now and people are dumb enough to support businesses like this.  ok... first, the taste was ok.  watching them prepare it, the ""whiz"" is canned from kraft....and even with 2 smears, it still wasn't enough. the grinder (bread) wasn't big and surely wasn't like an italian bread, which is a bit more filling.  there seemed like a lot of meat, but not really.  no sides, nothing.  $8.50 for a $5.00 sandwich was a bit much.... not being cheap, just saying the truth.  if people say this is better than gino's and the other famous place, i'm done.  this can't be the best, it just can't.    so how should they improve?  first, get better bread.  second, make the cheese leak out.  3.  add a decent amount of meat.  4.  a whole pickle, slaw... something on the side that's included in the price. at $11.00 average per person.. and hundreds of customers daily, you do the math.    people were nice, but the food was not worth the price. i can make better at home.  sorry, guys, but your place needs much improvement.",1,67.0,1,1286,0.1844
27031,UIlrtflU_DOagc4YyrQ2Uw,2014-01-02 18:18:23,3,"i actually wanted to give this place 1 star, but my lack of enjoyment there may have been my own fault. i was expecting a big band or supper club with a sinatra-type crooning in the back ground like you see in the old movies... the kind our grandparents used to go to in the 40's and 50's..   turns out, the waiters and waitresses take turns singing show tunes.. and if there's anything i hate, it's a broadway musical. it's was like my own personal hell. truthfully, i thought the singers sounded better clanging dishes together than singing, but hey... the bar is tiny and right in the entrance where people are standing in line for their table... maybe it's just me and my dislike for show tunes...  note: we did not eat there, just went to catch some tunes and hopefully a buzz...",1,11.0,1,784,0.1704
27083,fN12ywQpLXQ93bpwe1N_Ww,2014-01-02 23:28:18,4,"in moment of desperation to make dinner reservations on new year's eve, i am compelled to take back my previous negative thoughts of pietro's coal oven pizzeria. i had a much better experience a few nights ago than i did a few months ago.  the service: 5/5 my first experience i had a pretty bad waiter. he was far from helpful and the restaurant was horrible at sending out dishes. the rest of my table (party of 6) had been served entrees and they had forgot mine in the window for around 12 minutes, wasn't even warm. this time the waiter was very friendly and very helpful. made great suggestions and made the meal enjoyable helping me properly pronounce italian words.  the food: 4/5 i had ordered the fried calamari which i thought was fair. it wasn't what i was hoping for but i will say it was above standard. i had ordered the vittello con funghi. the sherry wine sauce was a little heavier than i had expected but that was probably due to the pecorino cheese. the saltiness of the cheese help flavor the mushrooms. the veal itself i didn't find it to be anything special but it was satisfying. the wild mushrooms were probably the best part of the dish rather than the veal. i only wished that there was more of it.   the atmosphere: 4/5 at times the noise level can get rather higher due to how open the restaurant and lack of walls. you will have some difficulty hearing across the table.   as good as it was this time around. i have definitely expect the same quality and service on my third trip to pietro's in the future.",1,18.0,1,1536,0.1238
27094,eJaeTZlIdM3HWCq__Ve4Wg,2013-09-11 01:18:55,3,"this was my first wine bar after moving to philly from los angeles, so keep that in mind. okay wine, pretty good cheese (and accouterment), really good service. not a lot of atmosphere, and the place is so small that i simultaneously felt that we were a little in the way (by the door and the service station) and that there was no better place to go, even though most of the tables were open. also, this was not one of the ""philly deals"" i have become accustomed to in my short time here. (newsflash: rittenhouse square is expensive.) all in all, i'd go back if someone suggested it -- but only until i find someplace better.",0,42.0,1,626,0.1475
27118,eJaeTZlIdM3HWCq__Ve4Wg,2013-11-20 20:15:35,3,"i was really excited to try this spot after seeing the reviews.  because of some food allergies, it's helpful for me to be able to check menus on yelp before going to make sure there's something i can eat.  i was psyched by the menu, only to find out it had changed since whenever it was uploaded. not any huge changes, but still enough that i was slightly disappointed. the wine was decent, but probably over priced, the staff was okay, seemed more excited about talking to each other than taking my order. overall not a bad experience, but not incredible.",1,42.0,1,557,0.1561
27133,05ev984NYfimRN0UiFrxaA,2014-01-04 00:28:56,5,"since i stand behind the reviews i write, i need to tell you that if you want to have one of the best dining experiences of your life.... go to osteria and sit at the bar when steven is working.  tell him to take good care of you and then.... trust him!    he is very good at what he does. very  good..   the food is amazing.  steven will guide you through an amazing experience.   he guided my gf and i through the best meal we've ever had in philly.    osteria is for real!   (if you don't sit with steven, that's up to you. don't blame me).",1,42.0,1,543,0.6383
27142,eJaeTZlIdM3HWCq__Ve4Wg,2014-01-20 23:57:05,4,"let me start off by saying this place is great! i think people should be warned that the price adds up really fast when eating/drinking here! the food is really fresh, the wine and cheese selection are really great and well thought out. the staff are very knowledgable about their wines which i goes to show that they are really well trained by management. i always spend way more money than what i expect when i go here, but i love eating fancy cheese and drinking great wine.",1,42.0,1,477,0.5056
27181,HPqTJ_yF2ZJw87yHWnSzSg,2013-12-16 01:52:44,2,"this place is touristy, but fun. we tend to recommend it to friends and family visiting from out of town. food, service, and gimmick come recommended. tonight my wife took our kids, and her mother and sister who were visiting.   my wife has celiac sprue, and was excited to see a menu item listed as gluten free. usually she can't eat when she goes with people to restaurants. it definitely wasn't gluten free. maybe the item was prepared without wheat. maybe most of the ingredients were gluten free. but either they used spices that they didn't realise contained gluten, or cross contamination occurred on cooking or prep surfaces.   we really appreciate that more places are trying to cater to customers looking to avoid gluten. but if you can't successfully deliver that, we'd prefer that we not be misled. she'll be sick for a week or two. the symptoms are unpleasant, so i won't list them, but they're severe. eventually it can lead to cancer.",1,11.0,1,949,0.1579
